,Methods,Protein length,tmscore
227,PVQD,70,0.35502
228,PVQD,70,0.38333
229,PVQD,70,0.18902
230,PVQD,70,0.30922
231,PVQD,70,0.28894
232,PVQD,70,0.27583
233,PVQD,70,0.32217
234,PVQD,70,0.29538
235,PVQD,70,0.29985
236,PVQD,70,0.30482
237,PVQD,70,0.29111
238,PVQD,70,0.33632
239,PVQD,70,0.23533
240,PVQD,70,0.31655
241,PVQD,70,0.30656
242,PVQD,70,0.22053
243,PVQD,70,0.34455
244,PVQD,70,0.29006
245,PVQD,70,0.30383
246,PVQD,70,0.4175
247,PVQD,70,0.26687
248,PVQD,70,0.33591
249,PVQD,70,0.30881
250,PVQD,70,0.22609
251,PVQD,70,0.18267
252,PVQD,70,0.22727
253,PVQD,70,0.24244
254,PVQD,70,0.29624
255,PVQD,70,0.31825
256,PVQD,70,0.24583
257,PVQD,70,0.2929
258,PVQD,70,0.2855
259,PVQD,70,0.33393
260,PVQD,70,0.3281
261,PVQD,70,0.29059
262,PVQD,70,0.24839
263,PVQD,70,0.18593
264,PVQD,70,0.18502
265,PVQD,70,0.29121
266,PVQD,70,0.40265
267,PVQD,70,0.32177
268,PVQD,70,0.23453
269,PVQD,70,0.22643
270,PVQD,70,0.32382
271,PVQD,70,0.2991
272,PVQD,70,0.30058
273,PVQD,70,0.31921
274,PVQD,70,0.29209
275,PVQD,70,0.33208
276,PVQD,70,0.26526
277,PVQD,70,0.21694
278,PVQD,70,0.32281
279,PVQD,70,0.25597
280,PVQD,70,0.31247
281,PVQD,70,0.3109
282,PVQD,70,0.31259
283,PVQD,70,0.35889
284,PVQD,70,0.18302
285,PVQD,70,0.29187
286,PVQD,70,0.38479
287,PVQD,70,0.27767
288,PVQD,70,0.39873
289,PVQD,70,0.30002
290,PVQD,70,0.26503
291,PVQD,70,0.29236
292,PVQD,70,0.26878
293,PVQD,70,0.32822
294,PVQD,70,0.20172
295,PVQD,70,0.39512
296,PVQD,70,0.28356
297,PVQD,70,0.40609
298,PVQD,70,0.34356
299,PVQD,70,0.38258
300,PVQD,70,0.25594
301,PVQD,70,0.30636
302,PVQD,70,0.26094
303,PVQD,70,0.32713
304,PVQD,70,0.33611
305,PVQD,70,0.30838
306,PVQD,70,0.30384
307,PVQD,70,0.25148
308,PVQD,70,0.32492
309,PVQD,70,0.33939
