,Methods,Protein length,scRMSD
1388,Chroma,70,4.837
1389,Chroma,400,10.139
1390,Chroma,100,0.724
1391,Chroma,70,2.627
1392,Chroma,400,8.376
1393,Chroma,400,10.092
1394,Chroma,400,13.565
1395,Chroma,400,12.465
1396,Chroma,100,0.52
1397,Chroma,200,1.998
1398,Chroma,70,0.623
1399,Chroma,400,16.222
1400,Chroma,200,2.353
1401,Chroma,200,1.734
1402,Chroma,400,16.348
1403,Chroma,200,1.957
1404,Chroma,70,1.748
1405,Chroma,100,8.353
1406,Chroma,70,0.964
1407,Chroma,400,11.055
1408,Chroma,70,0.921
1409,Chroma,70,0.914
1410,Chroma,200,2.498
1411,Chroma,400,16.812
1412,Chroma,400,12.309
1413,Chroma,100,5.542
1414,Chroma,100,0.692
1415,Chroma,400,5.017
1416,Chroma,200,2.674
1417,Chroma,100,0.735
1418,Chroma,70,0.673
1419,Chroma,400,21.133
1420,Chroma,100,0.917
1421,Chroma,200,7.334
1422,Chroma,200,6.18
1423,Chroma,200,2.214
1424,Chroma,400,8.658
1425,Chroma,200,3.505
1426,Chroma,200,9.503
1427,Chroma,400,12.245
1428,Chroma,200,1.956
1429,Chroma,200,1.793
1430,Chroma,200,0.915
1431,Chroma,200,9.643
1432,Chroma,70,0.539
1433,Chroma,200,5.054
1434,Chroma,200,9.556
1435,Chroma,70,1.012
1436,Chroma,200,1.399
1437,Chroma,70,1.251
1438,Chroma,200,4.834
1439,Chroma,100,1.324
1440,Chroma,70,0.637
1441,Chroma,400,3.377
1442,Chroma,70,0.815
1443,Chroma,70,7.087
1444,Chroma,400,12.708
1445,Chroma,70,11.331
1446,Chroma,200,3.754
1447,Chroma,200,1.949
1448,Chroma,400,15.198
1449,Chroma,200,12.279
1450,Chroma,400,11.961
1451,Chroma,70,7.336
1452,Chroma,70,4.974
1453,Chroma,100,4.997
1454,Chroma,200,1.544
1455,Chroma,400,8.41
1456,Chroma,100,0.757
1457,Chroma,100,6.575
1458,Chroma,200,9.0
1459,Chroma,70,1.104
1460,Chroma,400,4.113
1461,Chroma,100,0.513
1462,Chroma,200,5.374
1463,Chroma,200,0.868
1464,Chroma,100,1.616
1465,Chroma,400,13.729
1466,Chroma,100,0.685
1467,Chroma,70,0.878
1468,Chroma,100,1.077
1469,Chroma,100,3.695
1470,Chroma,400,4.712
1471,Chroma,100,3.531
1472,Chroma,400,12.594
1473,Chroma,70,0.378
1474,Chroma,70,0.554
1475,Chroma,100,12.038
1476,Chroma,400,12.593
1477,Chroma,100,5.739
1478,Chroma,100,3.48
1479,Chroma,400,18.532
1480,Chroma,200,0.995
1481,Chroma,100,0.648
1482,Chroma,70,4.181
1483,Chroma,400,12.62
1484,Chroma,200,1.604
1485,Chroma,400,21.505
1486,Chroma,200,7.858
1487,Chroma,400,7.558
1488,Chroma,100,6.99
1489,Chroma,200,0.775
1490,Chroma,70,0.599
1491,Chroma,400,4.69
1492,Chroma,400,7.633
1493,Chroma,70,4.423
1494,Chroma,400,9.682
1495,Chroma,400,13.339
1496,Chroma,100,2.044
1497,Chroma,70,0.949
1498,Chroma,200,3.389
1499,Chroma,400,8.139
1500,Chroma,400,12.159
1501,Chroma,200,10.37
1502,Chroma,70,10.171
1503,Chroma,200,4.748
1504,Chroma,100,6.137
1505,Chroma,400,20.512
1506,Chroma,400,16.438
1507,Chroma,400,14.519
1508,Chroma,100,1.847
1509,Chroma,200,11.478
1510,Chroma,200,6.845
1511,Chroma,100,0.975
1512,Chroma,100,0.717
1513,Chroma,400,13.018
1514,Chroma,200,1.301
1515,Chroma,400,16.596
1516,Chroma,70,2.061
1517,Chroma,100,2.095
1518,Chroma,70,1.565
1519,Chroma,70,0.984
1520,Chroma,70,1.335
1521,Chroma,70,0.484
1522,Chroma,100,1.283
1523,Chroma,400,8.955
1524,Chroma,200,2.461
1525,Chroma,70,2.662
1526,Chroma,200,2.364
1527,Chroma,200,1.819
1528,Chroma,200,1.031
1529,Chroma,400,5.576
1530,Chroma,200,6.084
1531,Chroma,100,9.414
1532,Chroma,400,22.82
1533,Chroma,200,3.524
1534,Chroma,100,1.01
1535,Chroma,70,0.71
1536,Chroma,70,0.688
1537,Chroma,200,0.836
1538,Chroma,400,13.505
1539,Chroma,100,2.916
1540,Chroma,200,8.275
1541,Chroma,200,8.884
1542,Chroma,400,10.693
1543,Chroma,100,3.405
1544,Chroma,100,0.896
1545,Chroma,70,2.57
1546,Chroma,100,1.15
1547,Chroma,100,2.026
1548,Chroma,100,11.403
1549,Chroma,200,6.818
1550,Chroma,70,7.318
1551,Chroma,70,1.347
1552,Chroma,400,3.618
1553,Chroma,100,5.155
1554,Chroma,70,0.653
1555,Chroma,100,0.756
1556,Chroma,100,1.498
1557,Chroma,200,3.704
1558,Chroma,70,3.717
1559,Chroma,70,0.709
1560,Chroma,70,6.786
1561,Chroma,200,7.824
1562,Chroma,400,4.433
1563,Chroma,70,0.681
1564,Chroma,70,1.382
1565,Chroma,400,10.964
1566,Chroma,400,13.818
1567,Chroma,200,9.287
1568,Chroma,100,2.936
1569,Chroma,70,4.794
1570,Chroma,100,3.812
1571,Chroma,400,18.302
1572,Chroma,200,4.257
1573,Chroma,70,0.805
1574,Chroma,200,0.757
1575,Chroma,200,1.784
1576,Chroma,70,3.105
1577,Chroma,100,3.814
1578,Chroma,70,0.653
1579,Chroma,70,0.543
1580,Chroma,100,0.847
1581,Chroma,100,19.674
1582,Chroma,200,3.948
1583,Chroma,200,1.622
1584,Chroma,200,5.126
1585,Chroma,200,14.009
1586,Chroma,200,1.846
1587,Chroma,400,6.311
1588,Chroma,100,2.192
1589,Chroma,70,3.677
1590,Chroma,400,21.949
1591,Chroma,100,3.32
1592,Chroma,400,12.224
1593,Chroma,70,0.62
1594,Chroma,70,1.259
1595,Chroma,200,13.631
1596,Chroma,200,1.131
1597,Chroma,200,1.172
1598,Chroma,400,17.823
1599,Chroma,100,0.623
1600,RFdiffusion,400,1.412
1601,RFdiffusion,100,1.386
1602,RFdiffusion,400,6.32
1603,RFdiffusion,200,0.675
1604,RFdiffusion,400,8.319
1605,RFdiffusion,70,0.474
1606,RFdiffusion,100,0.405
1607,RFdiffusion,400,6.467
1608,RFdiffusion,100,0.593
1609,RFdiffusion,70,0.508
1610,RFdiffusion,100,0.474
1611,RFdiffusion,70,0.442
1612,RFdiffusion,100,0.632
1613,RFdiffusion,70,0.374
1614,RFdiffusion,200,1.649
1615,RFdiffusion,70,0.443
1616,RFdiffusion,400,11.084
1617,RFdiffusion,70,0.861
1618,RFdiffusion,200,0.716
1619,RFdiffusion,400,16.785
1620,RFdiffusion,400,8.302
1621,RFdiffusion,100,0.461
1622,RFdiffusion,70,0.633
1623,RFdiffusion,100,0.474
1624,RFdiffusion,400,1.26
1625,RFdiffusion,70,0.453
1626,RFdiffusion,400,4.831
1627,RFdiffusion,70,0.831
1628,RFdiffusion,70,0.922
1629,RFdiffusion,400,9.975
1630,RFdiffusion,100,0.524
1631,RFdiffusion,200,3.55
1632,RFdiffusion,400,14.198
1633,RFdiffusion,400,0.794
1634,RFdiffusion,70,0.518
1635,RFdiffusion,100,0.478
1636,RFdiffusion,200,0.977
1637,RFdiffusion,70,0.516
1638,RFdiffusion,200,0.685
1639,RFdiffusion,70,0.707
1640,RFdiffusion,400,6.656
1641,RFdiffusion,400,16.437
1642,RFdiffusion,200,1.034
1643,RFdiffusion,400,5.179
1644,RFdiffusion,400,9.886
1645,RFdiffusion,400,1.334
1646,RFdiffusion,200,0.898
1647,RFdiffusion,70,11.729
1648,RFdiffusion,200,0.749
1649,RFdiffusion,100,0.503
1650,RFdiffusion,400,0.864
1651,RFdiffusion,70,0.519
1652,RFdiffusion,70,0.486
1653,RFdiffusion,100,0.543
1654,RFdiffusion,200,0.657
1655,RFdiffusion,400,2.418
1656,RFdiffusion,70,0.8
1657,RFdiffusion,200,0.557
1658,RFdiffusion,70,0.486
1659,RFdiffusion,100,0.324
1660,RFdiffusion,200,0.806
1661,RFdiffusion,100,0.61
1662,RFdiffusion,70,0.641
1663,RFdiffusion,70,1.103
1664,RFdiffusion,400,6.076
1665,RFdiffusion,70,0.569
1666,RFdiffusion,400,2.356
1667,RFdiffusion,70,0.673
1668,RFdiffusion,200,0.706
1669,RFdiffusion,100,0.492
1670,RFdiffusion,100,0.574
1671,RFdiffusion,100,0.484
1672,RFdiffusion,70,5.807
1673,RFdiffusion,70,0.406
1674,RFdiffusion,200,0.915
1675,RFdiffusion,400,10.291
1676,RFdiffusion,400,0.897
1677,RFdiffusion,400,2.856
1678,RFdiffusion,200,0.741
1679,RFdiffusion,100,0.519
1680,RFdiffusion,100,0.738
1681,RFdiffusion,100,0.527
1682,RFdiffusion,70,0.446
1683,RFdiffusion,100,0.45
1684,RFdiffusion,100,0.327
1685,RFdiffusion,100,0.745
1686,RFdiffusion,400,4.374
1687,RFdiffusion,400,10.487
1688,RFdiffusion,70,0.64
1689,RFdiffusion,400,5.261
1690,RFdiffusion,200,0.973
1691,RFdiffusion,400,15.835
1692,RFdiffusion,100,0.572
1693,RFdiffusion,400,16.099
1694,RFdiffusion,200,0.713
1695,RFdiffusion,70,0.703
1696,RFdiffusion,100,0.475
1697,RFdiffusion,100,0.568
1698,RFdiffusion,200,0.81
1699,RFdiffusion,100,0.911
1700,RFdiffusion,100,0.923
1701,RFdiffusion,100,0.527
1702,RFdiffusion,400,1.013
1703,RFdiffusion,100,0.567
1704,RFdiffusion,200,1.306
1705,RFdiffusion,200,1.086
1706,RFdiffusion,70,0.381
1707,RFdiffusion,100,0.501
1708,RFdiffusion,70,0.595
1709,RFdiffusion,70,0.486
1710,RFdiffusion,200,0.515
1711,RFdiffusion,100,0.561
1712,RFdiffusion,400,1.191
1713,RFdiffusion,200,1.024
1714,RFdiffusion,200,0.558
1715,RFdiffusion,400,10.623
1716,RFdiffusion,70,0.459
1717,RFdiffusion,200,0.528
1718,RFdiffusion,200,10.521
1719,RFdiffusion,70,0.318
1720,RFdiffusion,70,0.387
1721,RFdiffusion,70,0.444
1722,RFdiffusion,400,0.883
1723,RFdiffusion,70,0.637
1724,RFdiffusion,200,1.071
1725,RFdiffusion,70,0.462
1726,RFdiffusion,70,0.625
1727,RFdiffusion,200,0.567
1728,RFdiffusion,200,0.979
1729,RFdiffusion,400,5.91
1730,RFdiffusion,100,0.465
1731,RFdiffusion,400,4.616
1732,RFdiffusion,200,0.919
1733,RFdiffusion,100,0.512
1734,RFdiffusion,200,1.067
1735,RFdiffusion,200,5.21
1736,RFdiffusion,70,0.696
1737,RFdiffusion,400,3.355
1738,RFdiffusion,70,0.624
1739,RFdiffusion,100,0.58
1740,RFdiffusion,70,0.592
1741,RFdiffusion,100,4.678
1742,RFdiffusion,200,0.867
1743,RFdiffusion,70,0.521
1744,RFdiffusion,200,0.571
1745,RFdiffusion,70,0.487
1746,RFdiffusion,200,0.96
1747,RFdiffusion,100,0.675
1748,RFdiffusion,400,8.143
1749,RFdiffusion,200,0.627
1750,RFdiffusion,400,1.332
1751,RFdiffusion,70,0.679
1752,RFdiffusion,400,2.41
1753,RFdiffusion,70,3.998
1754,RFdiffusion,400,17.409
1755,RFdiffusion,70,0.41
1756,RFdiffusion,200,0.666
1757,RFdiffusion,100,0.497
1758,RFdiffusion,200,0.868
1759,RFdiffusion,200,0.82
1760,RFdiffusion,200,2.012
1761,RFdiffusion,100,0.812
1762,RFdiffusion,100,0.847
1763,RFdiffusion,100,0.644
1764,RFdiffusion,400,13.382
1765,RFdiffusion,70,0.756
1766,RFdiffusion,400,0.737
1767,RFdiffusion,400,3.244
1768,RFdiffusion,400,3.358
1769,RFdiffusion,400,6.495
1770,RFdiffusion,100,0.602
1771,RFdiffusion,70,0.607
1772,RFdiffusion,70,0.426
1773,RFdiffusion,100,0.699
1774,RFdiffusion,400,0.695
1775,RFdiffusion,200,0.815
1776,RFdiffusion,200,0.586
1777,RFdiffusion,100,0.48
1778,RFdiffusion,100,0.398
1779,RFdiffusion,400,0.931
1780,RFdiffusion,100,0.373
1781,RFdiffusion,70,0.507
1782,RFdiffusion,70,0.515
1783,RFdiffusion,400,4.001
1784,RFdiffusion,400,11.334
1785,RFdiffusion,70,5.972
1786,RFdiffusion,70,0.313
1787,RFdiffusion,100,0.561
1788,RFdiffusion,200,1.041
1789,RFdiffusion,400,5.907
1790,RFdiffusion,200,9.897
1791,RFdiffusion,100,0.572
1792,RFdiffusion,400,9.722
1793,RFdiffusion,100,0.538
1794,RFdiffusion,100,0.622
1795,RFdiffusion,100,0.659
1796,RFdiffusion,100,0.627
1797,RFdiffusion,70,0.662
1798,RFdiffusion,200,0.841
1799,RFdiffusion,400,1.576
1800,RFdiffusion,200,0.656
1801,RFdiffusion,400,1.679
1802,RFdiffusion,200,0.712
1803,RFdiffusion,100,3.31
1804,RFdiffusion,100,0.411
1805,RFdiffusion,200,0.639
1806,RFdiffusion,200,0.614
1807,RFdiffusion,200,0.813
1808,RFdiffusion,100,0.891
1809,RFdiffusion,100,0.47
1810,RFdiffusion,200,0.628
1811,RFdiffusion,100,0.524
1812,RFdiffusion,70,0.469
1813,RFdiffusion,200,0.662
1814,RFdiffusion,200,0.557
1815,RFdiffusion,70,0.679
1816,RFdiffusion,200,0.647
1817,RFdiffusion,200,0.909
1818,RFdiffusion,100,1.016
1819,RFdiffusion,100,0.567
1820,RFdiffusion,100,0.576
1821,RFdiffusion,70,0.588
1822,RFdiffusion,400,17.137
1823,RFdiffusion,400,3.231
1824,RFdiffusion,400,1.349
1825,RFdiffusion,200,0.559
1826,RFdiffusion,100,0.434
1827,RFdiffusion,200,0.557
1828,RFdiffusion,70,0.93
1829,RFdiffusion,400,4.175
1830,RFdiffusion,400,1.173
1831,RFdiffusion,100,0.454
1832,RFdiffusion,100,0.85
1833,RFdiffusion,70,0.625
1834,RFdiffusion,200,0.709
1835,RFdiffusion,400,9.197
1836,RFdiffusion,400,20.017
1837,RFdiffusion,70,0.438
1838,RFdiffusion,100,0.444
1839,RFdiffusion,70,0.651
1840,RFdiffusion,200,0.644
1841,RFdiffusion,200,0.969
1842,RFdiffusion,70,0.54
1843,RFdiffusion,100,0.452
1844,RFdiffusion,100,0.59
1845,RFdiffusion,200,0.651
1846,RFdiffusion,70,0.474
1847,RFdiffusion,200,0.856
1848,RFdiffusion,100,0.898
1849,RFdiffusion,200,0.569
1850,RFdiffusion,400,6.667
1851,RFdiffusion,100,1.715
1852,RFdiffusion,70,0.466
1853,RFdiffusion,70,0.872
1854,RFdiffusion,400,14.174
1855,RFdiffusion,70,0.483
1856,RFdiffusion,400,5.083
1857,RFdiffusion,70,0.489
1858,RFdiffusion,70,0.626
1859,RFdiffusion,70,0.512
1860,RFdiffusion,100,0.658
1861,RFdiffusion,100,0.391
1862,RFdiffusion,70,0.429
1863,RFdiffusion,70,0.602
1864,RFdiffusion,100,0.537
1865,RFdiffusion,200,0.625
1866,RFdiffusion,400,4.17
1867,RFdiffusion,200,0.749
1868,RFdiffusion,70,0.583
1869,RFdiffusion,400,1.377
1870,RFdiffusion,200,0.634
1871,RFdiffusion,70,0.441
1872,RFdiffusion,400,3.886
1873,RFdiffusion,70,0.447
1874,RFdiffusion,100,0.965
1875,RFdiffusion,100,6.308
1876,RFdiffusion,200,0.971
1877,RFdiffusion,100,0.993
1878,RFdiffusion,70,0.706
1879,RFdiffusion,100,1.108
1880,RFdiffusion,70,0.435
1881,RFdiffusion,100,0.483
1882,RFdiffusion,400,1.751
1883,RFdiffusion,400,3.579
1884,RFdiffusion,200,0.638
1885,RFdiffusion,200,0.836
1886,RFdiffusion,200,0.918
1887,RFdiffusion,100,0.475
1888,RFdiffusion,400,12.387
1889,RFdiffusion,200,0.842
1890,RFdiffusion,100,0.495
1891,RFdiffusion,100,0.577
1892,RFdiffusion,70,0.583
1893,RFdiffusion,400,0.671
1894,RFdiffusion,100,0.523
1895,RFdiffusion,200,1.917
1896,RFdiffusion,70,0.362
1897,RFdiffusion,400,19.168
1898,RFdiffusion,400,3.034
1899,RFdiffusion,200,0.645
1900,RFdiffusion,70,1.102
1901,RFdiffusion,400,6.975
1902,RFdiffusion,100,0.475
1903,RFdiffusion,70,0.535
1904,RFdiffusion,200,4.505
1905,RFdiffusion,400,1.663
1906,RFdiffusion,200,1.859
1907,RFdiffusion,200,0.598
1908,RFdiffusion,400,5.138
1909,RFdiffusion,400,2.184
1910,RFdiffusion,200,1.249
1911,RFdiffusion,200,0.995
1912,RFdiffusion,70,1.602
1913,RFdiffusion,70,0.452
1914,RFdiffusion,70,0.564
1915,RFdiffusion,200,2.515
1916,RFdiffusion,70,2.112
1917,RFdiffusion,70,0.673
1918,RFdiffusion,400,13.831
1919,RFdiffusion,400,1.392
1920,RFdiffusion,200,0.957
1921,RFdiffusion,70,0.998
1922,RFdiffusion,100,0.725
1923,RFdiffusion,70,0.445
1924,RFdiffusion,70,3.203
1925,RFdiffusion,200,0.859
1926,RFdiffusion,100,0.8
1927,RFdiffusion,200,1.014
1928,RFdiffusion,400,6.942
1929,RFdiffusion,200,0.743
1930,RFdiffusion,100,0.672
1931,RFdiffusion,200,0.745
1932,RFdiffusion,400,2.04
1933,RFdiffusion,200,0.611
1934,RFdiffusion,100,0.454
1935,RFdiffusion,400,11.419
1936,RFdiffusion,70,0.553
1937,RFdiffusion,200,1.634
1938,RFdiffusion,100,0.496
1939,RFdiffusion,200,0.679
1940,RFdiffusion,70,0.991
1941,RFdiffusion,200,1.468
1942,RFdiffusion,100,0.571
1943,RFdiffusion,100,0.683
1944,RFdiffusion,400,13.461
1945,RFdiffusion,70,0.685
1946,RFdiffusion,100,0.581
1947,RFdiffusion,100,0.391
1948,RFdiffusion,400,1.816
1949,RFdiffusion,400,0.912
1950,RFdiffusion,400,8.177
1951,RFdiffusion,70,1.352
1952,RFdiffusion,400,1.257
1953,RFdiffusion,400,17.916
1954,RFdiffusion,400,0.81
1955,RFdiffusion,70,0.553
1956,RFdiffusion,200,0.572
1957,RFdiffusion,200,0.628
1958,RFdiffusion,400,8.157
1959,RFdiffusion,100,0.466
1960,RFdiffusion,400,15.443
1961,RFdiffusion,400,1.334
1962,RFdiffusion,100,0.466
1963,RFdiffusion,400,1.976
1964,RFdiffusion,70,0.455
1965,RFdiffusion,100,0.46
1966,RFdiffusion,400,0.955
1967,RFdiffusion,70,0.997
1968,RFdiffusion,70,13.225
1969,RFdiffusion,200,1.241
1970,RFdiffusion,400,6.655
1971,RFdiffusion,100,0.445
1972,RFdiffusion,400,1.382
1973,RFdiffusion,70,0.49
1974,RFdiffusion,400,1.538
1975,RFdiffusion,100,0.758
1976,RFdiffusion,100,0.495
1977,RFdiffusion,200,0.511
1978,RFdiffusion,200,0.728
1979,RFdiffusion,400,2.325
1980,RFdiffusion,100,0.583
1981,RFdiffusion,400,0.816
1982,RFdiffusion,200,1.027
1983,RFdiffusion,70,0.461
1984,RFdiffusion,70,0.399
1985,RFdiffusion,200,0.651
1986,RFdiffusion,400,6.947
1987,RFdiffusion,200,0.983
1988,RFdiffusion,200,0.585
1989,RFdiffusion,100,0.41
1990,RFdiffusion,100,0.452
1991,RFdiffusion,400,3.88
1992,RFdiffusion,100,0.447
1993,RFdiffusion,200,0.698
1994,RFdiffusion,70,0.402
1995,RFdiffusion,200,7.253
1996,RFdiffusion,200,0.605
1997,RFdiffusion,100,0.483
1998,RFdiffusion,200,1.055
1999,RFdiffusion,70,0.485
